artist,title,popularity,key
Van Halen,Hot for Teacher,2769,C Major
The Human League,Don't You Want Me,2767,C Major
Madness,Our House,2755,C Major
Hall & Oates,Private Eyes,2741,C Major
Elton John,Pinball Wizard,2740,C Major
Michael Jackson,Liberian Girl,2736,C Major
Nicki Minaj,Pills ’n’ Potions,2730,C Major
Hall & Oates,Out of Touch,2710,C Major
Luke Bryan,I Don’t Want This Night to End,2702,C Major
Mariah Carey,We Belong Together,2702,C Major
Mariah Carey,Emotions,2698,C Major
Kimbra,Settle Down,2696,C Major
Kansas,Dust in the Wind,2696,C Major
Duck Sauce,aNYway,2693,C Major
Shinedown,Simple Man,2674,C Major
Hall & Oates,Kiss On My List,2661,C Major
Madonna,Material Girl,2657,C Major
Carrie Underwood,See You Again,2652,C Major
Avenged Sevenfold,Buried Alive,2645,C Major
Phillip Phillips,Home,2624,C Major
AC-DC,Shot Down in Flames,2612,C Major
Wham!,Wake Me Up Before You Go-Go,2610,C Major
Lana Del Rey,Ride,2580,C Major
Van Halen,Tattoo,2575,C Major
Ozzy Osbourne,Bark at the Moon,2554,C Major
Taylor Dayne,I'll Always Love You,2547,C Major
Prince,When Doves Cry,2546,C Major
Lady Gaga,Speechless,2539,C Major
Vince Guaraldi Trio,Für Elise,2532,C Major
twenty one pilots,Stressed Out,2521,C Major
Ohio Players,Love Rollercoaster,2510,C Major
Whiskey Myers,Broken Window Serenade,2504,C Major
Electric Light Orchestra,Evil Woman,2503,C Major
Jason Derulo,Trumpets,2498,C Major
Justin Bieber,Beauty and a Beat,2494,C Major
The Beach Boys,Kokomo,2488,C Major
Fall Out Boy,"This Ain't a Scene, It's an Arms Race",2486,C Major
ABBA,Money Money Money,2484,C Major
The Strokes,Last Nite,2481,C Major
The Temptations,My Girl,2471,C Major
Patti LaBelle,On My Own,2463,C Major
Linda Ronstadt,Somewhere Out There,2451,C Major
Elton John,I Guess That's Why They Call It the Blues,2447,C Major
The Cult,Wildflower,2430,C Major
Led Zeppelin,D’yer Mak’er,2423,C Major
Idina Menzel,Baby It’s Cold Outside,2421,C Major
Tenacious D,Tribute,2419,C Major
The Trammps,Disco Inferno,2401,C Major
Yes,Something’s Coming,2393,C Major
Mariah Carey,Vision of Love,2391,C Major
Hall & Oates,One on One,2358,C Major
Babyface,When Can I See You Again,2354,C Major
Kelly Clarkson,Breakaway,2344,C Major
Rush,2112 Overture,2343,C Major
Paul McCartney,Band on the Run,2341,C Major
Soulja Boy Tell ’Em,Bird Walk,2334,C Major
Audioslave,I Am the Highway,2334,C Major
Ben E. King,Stand by Me (Stand by Me),2332,C Major
B.B. King,Why I Sing the Blues,2330,C Major
Maurice Ravel,Boléro,2330,C Major
Shalamar,Second Time Around,2326,C Major
Mumford & Sons,Ghosts That We Knew,2320,C Major
Red Hot Chili Peppers,Give It Away,2319,C Major
Owl City,The Saltwater Room,2314,C Major
Bob Dylan,Hurricane,2314,C Major
Electric Light Orchestra,Don't Bring Me Down,2312,C Major
Journey,Who's Crying Now,2302,C Major
Kiss,Beth,2295,C Major
Backstreet Boys,Bigger,2294,C Major
Creedence Clearwater Revival,Have You Ever Seen the Rain,2283,C Major
Toni Braxton,Another Sad Love Song,2279,C Major
Slipknot,The Devil in I,2267,C Major
Adele,I Can't Make You Love Me,2261,C Major
Django Reinhardt,Minor Swing,2248,C Major
Fleetwood Mac,Rhiannon,2238,C Major
AC-DC,Have a Drink on Me,2233,C Major
Keane,Everybody’s Changing,2228,C Major
Donna Summer,Dim All the Lights,2218,C Major
Halestorm,I Miss the Misery,2218,C Major
Foo Fighters,Band on the Run,2208,C Major
Elvis Presley,If I Can Dream,2207,C Major
Natasha Bedingfield,Pocketful of Sunshine,2204,C Major
Lana Del Rey,Florida Kilos,2198,C Major
Journey,Girl Can't Help It,2196,C Major
Pink Floyd,The Thin Ice,2193,C Major
Elton John,Sad Songs (Say So Much),2180,C Major
Tom Petty and the Heartbreakers,Learning to Fly,2179,C Major
Red Hot Chili Peppers,Aeroplane,2174,C Major
Backstreet Boys,Everyone,2173,C Major
Linkin Park,Leave Out All the Rest,2167,C Major
Sabaton,The Final Solution,2162,C Major
Daft Punk,Fragments of Time,2158,C Major
Bob Dylan,All Along the Watchtower,2157,C Major
Dream Theater,These Walls,2153,C Major
The Beatles,Getting Better,2151,C Major
Hank Williams,Your Cheating Heart,2148,C Major
3 Doors Down,It's Not My Time,2148,C Major
Billy Joel,It's Still Rock'n'Roll to Me,2146,C Major
Misfits,Last Caress,2141,C Major
The Beatles,I Am the Walrus,2137,C Major
George Michael,Freedom '90,2133,C Major
Halestorm,Here's To Us,2131,C Major
Dave Matthews Band,Where Are You Going,2130,C Major
Carlos Gardel,Por Una Cabeza,2124,C Major
Kid Cudi,Cudi Zone,2123,C Major
Bryan Adams,Heaven,2121,C Major
Bruno Mars,Moonshine,2121,C Major
The Fall of Troy,F.C.P.R.E.M.I.X.,2121,C Major
Huey Lewis and the News,He Don’t Know,2120,C Major
Salt‐N‐Pepa,Push It,2118,C Major
Backstreet Boys,Anywhere for You,2118,C Major
Lady Gaga,Bloody Mary,2117,C Major
YELLE,À cause des garçons (Riot in Belgium remix),2117,C Major
Sabaton,7734,2116,C Major
Queen,You're My Best Friend,2114,C Major
Samantha Sang,Emotion,2111,C Major
Oasis,Hello,2110,C Major
Bob Dylan,I Want You,2104,C Major
Gary Numan,Are 'Friends' Electric?,2099,C Major
Rascal Flatts,Bless The Broken Road,2097,C Major
Sara Tavares,BalancÃª,2093,C Major
The Allman Brothers Band,Southbound,2090,C Major
Daughter,Youth,2087,C Major
Duran Duran,Hungry Like the Wolf,2083,C Major
Daft Punk,End of Line,2077,C Major
Wings,Silly Love Songs,2076,C Major
Kelly Clarkson,Stronger,2074,C Major
Chris Tomlin,How Great Is Our God,2068,C Major
Eddie Money,Shakin',2055,C Major
Tom Jones,Delilah,2051,C Major
The Beatles,Tomorrow Never Knows,2046,C Major
Capital Cities,Safe and Sound,2044,C Major
Enrique Iglesias,Bailamos,2044,C Major
Simply Red,Holding Back the Years,2039,C Major
Kacey Musgraves,Biscuits,2038,C Major
Daughtry,Waiting for Superman,2035,C Major
AC-DC,Who Made Who,2032,C Major
James Ingram,Just Once,2031,C Major
Rusted Root,Send Me On My Way,2029,C Major
The Moody Blues,When You’re a Free Man,2027,C Major
Flogging Molly,Devil’s Dance Floor,2021,C Major
Kings of Leon,Use Somebody,2010,C Major
Elton John,Song for Guy,2007,C Major
Jason Derulo,Wiggle,2005,C Major
Oasis,Let There Be Love,2005,C Major
Beck,Lost Cause,2000,C Major
Sebastian Ingrosso,Reload,1999,C Major
Billy Joel,Only the Good Die Young,1999,C Major
Mariah Carey,Slipping Away,1996,C Major
Yes,Owner of a Lonely Heart,1993,C Major
Hall & Oates,Adult Education,1991,C Major
Amy Winehouse,Rehab,1991,C Major
Fetty Wap,Trap Queen,1981,C Major
Elton John,Saturday's Night Alright for Fighting,1981,C Major
Mariah Carey,Heartbreaker,1977,C Major
Amorphis,Nightbird’s Song,1975,C Major
REO Speedwagon,Keep On Loving You,1968,C Major
Elton John,Border Song,1965,C Major
Rose Royce,Wishing on a Star,1962,C Major
Yellowcard,Light Up the Sky,1960,C Major
Aaron Pelsue Band,I Am Free,1955,C Major
Lorde,Tennis Court,1945,C Major
Tavares,A Penny for Your Thoughts,1942,C Major
Barry White,Never Never Gonna You Up,1941,C Major
Scorpions,Wind of Change,1940,C Major
Fleetwood Mac,Need Your Love So Bad,1938,C Major
Tavares,More Than a Woman,1938,C Major
Chicago,Old Days,1937,C Major
Taylor Swift,Tim McGraw,1935,C Major
Smokey Robinson,Cruisin',1931,C Major
Carly Simon,Coming Around Again,1923,C Major
Fair to Midland,"The Wife, the Kids, and the White Picket Fence",1923,C Major
Creed,With Arms Wide Open,1922,C Major
Ramones,Sheena Is a Punk Rocker,1920,C Major
A Flock of Seagulls,Run So Far Away,1914,C Major
Neil Young,Like a Hurricane,1911,C Major
Beyoncé,Best Thing I Never Had,1908,C Major
Big Time Rush,Beautiful Christmas,1904,C Major
The Gaslight Anthem,The Diamond Church Street Choir,1893,C Major
Hank Williams,Cold Cold Heart,1884,C Major
Muse,Supremacy,1881,C Major
Eurythmics,Here Comes the Rain Again,1879,C Major
Linkin Park,Iridescent,1878,C Major
Whitney Houston,One Moment In Time,1877,C Major
John Williams,Hedwig's Theme,1877,C Major
Donna Lewis,I Love You Always Forever,1873,C Major
3 Doors Down,Away From the Sun,1872,C Major
CeeLo Green,Forget You (clean),1872,C Major
Tavares,Heaven Must Be Missing an Angel,1871,C Major
Def Leppard,Bringin' on the Heartbreak,1870,C Major
Stevie Wonder,Fingertips,1868,C Major
Marilyn Manson,Coma White,1862,C Major
Creedence Clearwater Revival,Down on the Corner,1861,C Major
Blues Brothers,Everybody Needs Somebody,1855,C Major
The Rolling Stones,Stray Cat Blues,1855,C Major
Iron Maiden,2 Minutes to Midnight,1854,C Major
Lady Gaga,Donatella,1850,C Major
Bill Conti,Gonna Fly Now,1845,C Major
Dire Straits,On Every Street,1843,C Major
Halestorm,I Am the Fire,1843,C Major
Elton John,Be Prepared,1839,C Major
Falco,Rock Me Amadeus,1837,C Major
Little Big Town,Girl Crush,1837,C Major
Falco,Rock Me Amadeus,1837,C Major
Gwen Stefani,4 In the Morning,1834,C Major
The Beatles,I'll Follow the Sun,1832,C Major
Weezer,Hash Pipe,1831,C Major
The Beach Boys,I Get Around,1830,C Major
Dúné,A Blast Beat,1828,C Major
Daft Punk,Castor,1828,C Major
The Ataris,San Dimas High School Football Rules,1826,C Major
Alicia Bridges,I Love the Nightlife,1823,C Major
Penny McLean,Lady Bump,1823,C Major
Prince,Nothing Compares 2 U,1821,C Major
U2,40 - Do They Know It's Christmas,1815,C Major
Anita Ward,Ring My Bell,1815,C Major
Merle Haggard,Mama Tried,1814,C Major
Elton John,Written in the Stars,1812,C Major
Chicago,Make Me Smile,1810,C Major
Lionel Richie,Dancing on the Ceiling,1810,C Major
Steve Miller Band,Take The Money And Run,1802,C Major
Gary Barlow,Open Road,1802,C Major
Goo Goo Dolls,It’s Over,1800,C Major
Nirvana,Spank Thru,1799,C Major
Switchfoot,Afterlife,1799,C Major
Deftones,Sextape,1793,C Major
The Offspring,"You're Gonna Go Far, Kid",1792,C Major
twenty one pilots,The Judge,1790,C Major
Bill Conti,Gonna Fly Now (from 'Rocky'),1787,C Major
Josh Groban,Silent Night,1784,C Major
France Joli,Gonna Get Over You,1784,C Major
The Dear Hunter,Red Hands,1780,C Major
Good Riddance,Flies First Class,1779,C Major
Lana Del Rey,Lucky Ones,1778,C Major
Steely Dan,Black Cow (piano demo #1),1775,C Major
Linkin Park,Lost in the Echo,1773,C Major
Barry Manilow,Copacabana (At The Copa),1773,C Major
Andy Grammer,Keep Your Head Up,1771,C Major
The Beatles,You Never Give Me Your Money,1771,C Major
Lionel Richie,Cinderella,1770,C Major
Gram Parsons,Hickory Wind,1768,C Major
One Direction,Through the Dark,1766,C Major
Soundgarden,Slaves and Bulldozers,1764,C Major
Scorpions,Big City Nights,1764,C Major
N-Dubz,I Need You,1764,C Major
Air Supply,All Out of Love,1759,C Major
Lady Gaga,Gypsy,1756,C Major
The Spinners,Working My Way Back to You Babe,1755,C Major
Billy Joel,And So It Goes,1753,C Major
Queens of the Stone Age,Hangin' Tree,1747,C Major
Rush,La Villa Strangiato,1745,C Major
John Mayer,If I Ever Get Around to Living,1745,C Major
Black Sabbath,Changes,1744,C Major
Jackson Browne,Intro to Fountain of Sorrow,1741,C Major
Tony Bennett,I’ll Be Home for Christmas,1737,C Major
Marc Anthony,I Need You,1732,C Major
Aventura,El Perdedor,1730,C Major
Taj Mahal,Cakewalk Into Town,1730,C Major
The Black Eyed Peas,My Humps,1724,C Major
Amy Grant,El Shaddai,1724,C Major
Merle Haggard,"Twinkle, Twinkle Lucky Star",1723,C Major
Tom Petty and the Heartbreakers,You Got Lucky,1718,C Major
Daft Punk,Nocturne,1711,C Major
R.E.M.,Fall on Me,1709,C Major
Jessie J,Domino,1706,C Major
Commodores,Just to Be Close to You,1705,C Major
Electric Light Orchestra,Can't Get It Out Of My Head,1703,C Major
Van Halen,Dreams,1700,C Major
Yo‐Yo Ma,Libertango,1699,C Major
Mötley Crüe,Home Sweet Home,1699,C Major
Paul Simon,Cecilia,1699,C Major
Flo Rida,Whistle,1694,C Major
John Frusciante,Central,1694,C Major
Lady Gaga,Electric Chapel,1687,C Major
Air Supply,Now and Forever,1686,C Major
John Paul Young,Love Is in the Air,1685,C Major
Taylor Swift,Out of the Woods,1682,C Major
Aerosmith,Amazing,1680,C Major
Billy Joel,Goodnight Saigon,1678,C Major
J. Holiday,Suffocate (main),1677,C Major
Santa Esmeralda,Don't Let Me Be Misunderstood,1676,C Major
John Lennon,Working Class Hero,1675,C Major
Oasis,Don’t Go Away,1675,C Major
Chicago,I Don't Wanna Live Without Your Love,1675,C Major
Mariah Carey,Anytime You Need a Friend,1673,C Major
Commodores,Lady (You Bring Me Up),1672,C Major
Lionel Richie,Ballerina Girl,1672,C Major
Air Supply,The One That You Love,1672,C Major
LeAnn Rimes,Can't Fight The Moonlight,1667,C Major
Alan Menken,I See the Light,1666,C Major
Steve Hackett,Fire on the Moon,1665,C Major
Sum 41,Baby You Don’t Wanna Know,1664,C Major
Barry Manilow,Looks Like We Made It,1663,C Major
3 Doors Down,Let Me Be Myself,1662,C Major
Tom Petty and the Heartbreakers,Breakdown,1661,C Major
Van Halen,Why Can't This Be Love?,1658,C Major
Adam Levine,Lost Stars,1655,C Major
Olivia Newton-John,You’re the One That I Want,1650,C Major
Andrew Lloyd Webber,Variations I–IV,1649,C Major
U2,Grace,1648,C Major
Dire Straits,Private Investigations,1647,C Major
The Black Keys,Fever,1643,C Major
Stevie Wonder,Skeletons,1643,C Major
Evanescence,Taking Over Me,1641,C Major
Phil Collins,Dance Into the Light,1640,C Major
Wolfgang Amadeus Mozart,"Sonata in C major, K 278",1639,C Major
Scorpions,No One Like You,1638,C Major
Billie Holiday,Moonglow,1637,C Major
Alice Cooper,Billion Dollar Babies,1636,C Major
Soulja Boy Tell ’Em,Snap and Roll,1636,C Major
"Earth, Wind & Fire",Love Music,1636,C Major
The Emotions,Best Of My Love,1634,C Major
Hans Gruber,Silent Night (Stille Nacht),1631,C Major
Alan Menken,Kiss the Girl (The Little Mermaid),1630,C Major
The 1975,The Sound,1626,C Major
The Jackson 5,Santa Claus Is Coming To Town,1620,C Major
The Beatles,Blackbird (rehearsals b & c),1620,C Major
Noah and the Whale,5 Years Time,1618,C Major
INXS,Elegantly Wasted (Shagsonic remix),1617,C Major
Gloria Gaynor,Never Can Say Goodbye,1614,C Major
Muse,Resistance,1609,C Major
Machine Head,Halo,1607,C Major
Andy McKee,Rylynn,1606,C Major
a-ha,Hunting High and Low,1602,C Major
Arctic Monkeys,505,1599,C Major
Miley Cyrus,Adore You,1596,C Major
The Beatles,Misery,1593,C Major
Journey,Ask the Lonely,1592,C Major
Lynyrd Skynyrd,Cry for the Bad Man,1589,C Major
Musiq Soulchild,Just Friends (Sunny),1589,C Major
Kelly Clarkson,If No One Will Listen,1587,C Major
The Beatles,Golden Slumbers,1586,C Major
France Joli,Don't Stop Dancing,1585,C Major
Bee Gees,I've Gotta Get a Message to You,1585,C Major
Britney Spears,If U Seek Amy,1584,C Major
Bloc Party,This Modern Love,1583,C Major
Metallica,The Day That Never Comes,1583,C Major
Big Time Rush,Any Kind of Guy,1582,C Major
Ludwig van Beethoven,Für Elise,1579,C Major
Backstreet Boys,Everytime I Close My Eyes,1577,C Major
Chicago,What Kind of Man Would I Be,1575,C Major
Electric Light Orchestra,Livin' Thing,1574,C Major
Gretchen Parlato,Holding Back the Years,1568,C Major
Alien Ant Farm,Smooth Criminal,1567,C Major
Air Supply,Here I Am,1563,C Major
The Beatles,Happiness Is a Warm Gun,1563,C Major
Manic Street Preachers,If You Tolerate This Then Your Children Will Be Next,1561,C Major
The Countdown Singers,Ladies Night,1561,C Major
Korn,Got the Life,1559,C Major
Chic,"Dance, Dance, Dance",1557,C Major
Yelawolf,Devil in My Veins,1554,C Major
Quincy Jones,Just Once,1550,C Major
Stevie Wonder,Hey Love,1550,C Major
Snap!,Rhythm Is a Dancer,1549,C Major
Eagles,Ol’ 55,1549,C Major
Lady Gaga,Monster,1547,C Major
The Band Perry,Mother Like Mine,1544,C Major
Pink Floyd,Is There Anybody Out There?,1544,C Major
Fergie,Glamorous,1539,C Major
Nirvana,Been a Son,1536,C Major
Sublime,Smoke Two Joints,1530,C Major
Florence + the Machine,Ship to Wreck,1523,C Major
Mike + The Mechanics,All I Need Is a Miracle,1521,C Major
Evanescence,Snow White Queen,1521,C Major
The Strokes,New York City Cops,1521,C Major
Mastodon,The Wolf Is Loose,1518,C Major
Korn,Falling Away From Me,1513,C Major
The Weeknd,Starboy,1511,C Major
The Pretty Reckless,Heaven Knows,1511,C Major
Red Hot Chili Peppers,Throw Away Your Television,1509,C Major
Foreigner,Double Vision,1507,C Major
New Riders of the Purple Sage,Henry,1506,C Major
Metallica,Hit the Lights,1504,C Major
Backstreet Boys,Try,1497,C Major
Men Without Hats,Safety Dance,1495,C Major
XTC,Dear God,1494,C Major
The Sheepdogs,"How Late, How Long",1493,C Major
Styx,Come Sail Away,1492,C Major
a-ha,The Sun Always Shines on TV,1492,C Major
Modern English,I Melt With You,1491,C Major
Casting Crowns,All Because of Jesus,1489,C Major
Deep Purple,Space Truckin',1487,C Major
Seether,Driven Under,1486,C Major
Seether,Driven Under,1486,C Major
Barry Manilow,Could It Be Magic,1484,C Major
Carly Rae Jepsen,Sweetie,1484,C Major
Justin Timberlake,What Goes Around... Comes Around,1477,C Major
Enrique Iglesias,Rhythm Divine,1474,C Major
Jason Mraz,Lucky,1471,C Major
Al Bano & Romina Power,Felicita,1471,C Major
Frank Reyes,Princesa,1469,C Major
The Beatles,No Reply,1468,C Major
Coheed and Cambria,No World for Tomorrow,1465,C Major
The Deele,Two Occasions,1463,C Major
Trivium,Dying in Your Arms,1462,C Major
James Ingram,Somewhere Out There,1460,C Major
The Moody Blues,Visions of Paradise,1460,C Major
Seal,Let's Stay Together,1458,C Major
Muse,Hoodoo,1454,C Major
Chicago,Questions 67 & 68,1451,C Major
The Moody Blues,Our Guessing Game,1450,C Major
Wilson Phillips,Release Me,1449,C Major
Imagine Dragons,Thunder,1448,C Major
Sublime,D.J.s,1447,C Major
The Beatles,From Me to You,1442,C Major
Silver Convention,Lady Bump,1442,C Major
Afroman,Crazy Rap (Colt 45 And 2 Zig Zags),1440,C Major
Deep Purple,Child In Time,1439,C Major
Boyz II Men,Water Runs Dry,1438,C Major
Savage Garden,Truly Madly Deeply,1436,C Major
Nickelback,Gotta Be Somebody,1435,C Major
Rob Thomas,Lonely No More,1434,C Major
Pantera,Cat Scratch Fever,1433,C Major
The Beatles,Things We Said Today,1431,C Major
HIM,Wicked Game,1431,C Major
Green Day,Kill the DJ,1427,C Major
Wiener Philharmoniker,"Symphony №3 in A minor, op. 56 “Scottish”: II. Vivace non troppo",1427,C Major
Barbra Streisand,Guilty,1427,C Major
Arctic Monkeys,The View From the Afternoon,1424,C Major
Bee Gees,Love Me,1422,C Major
Justin Timberlake,Can’t Stop the Feeling!,1422,C Major
The Killing Tree,Look Alive,1418,C Major
When in Rome,The Promise,1417,C Major
Skillet,Circus for a Psycho,1416,C Major
The Beatles,Hold Me Tight,1416,C Major
Hurriganes,I Will Stay,1415,C Major
Countdown Mix Masters,Lady Bump,1413,C Major
Wiener Philharmoniker,"Symphony №3 in A minor, op. 56 “Scottish”: III. Adagio",1413,C Major
Mariah Carey,Angels Cry,1411,C Major
Fleetwood Mac,Silver Springs,1410,C Major
Foo Fighters,DOA,1408,C Major
Blue Öyster Cult,Dancin' in the Ruins,1407,C Major
The Cars,Shake It Up,1407,C Major
Bayside,Don't Call Me Peanut,1406,C Major
The New Basement Tapes,Kansas City,1406,C Major
Coheed and Cambria,Ten Speed (Of God's Blood & Burial),1405,C Major
Barry Manilow,All the Time,1403,C Major
Exile,Kiss You All Over,1402,C Major
Gustav Holst,Jupiter from The Planets,1399,C Major
Smokey Robinson,Just to See Her,1398,C Major
Bee Gees,Still Waters (Run Deep),1398,C Major
Franz Xaver Gruber,Silent Night,1395,C Major
Eiffel 65,Journey,1395,C Major
Lady Gaga,So Happy I Could Die,1393,C Major
Huey Lewis and the News,Stuck With You,1393,C Major
The Beatles,Your Mother Should Know,1388,C Major
Deep Purple,Kentucky Woman,1388,C Major
Kool & The Gang,Too Hot,1387,C Major
Evanescence,Farther Away,1387,C Major
The Commodores,Brick House,1383,C Major
U2,One Tree Hill,1382,C Major
Mandisa,Just Cry,1381,C Major
INXS,Devil Inside,1380,C Major
Mariah Carey,Never Too Far-Hero Medley,1378,C Major
Dan Hill,Can't We Try,1376,C Major
Hank Williams,"Cold, Cold Heart",1375,C Major
Stone Temple Pilots,Sour Girl,1373,C Major
Loretta Lynn,Happy Birthday,1371,C Major
Depeche Mode,In Chains,1370,C Major
Lorde,The Love Club,1369,C Major
John Cale,Hallelujah,1369,C Major
The Beatles,Blue Jay Way,1368,C Major
U2,Exit,1368,C Major
The Moody Blues,Question,1367,C Major
The Beatles,Carry That Weight,1367,C Major
Ed Sheeran,Happier,1366,C Major
Evanescence,Field of Innocence,1366,C Major
Alter Bridge,Shed My Skin,1366,C Major
Korn,Way Too Far,1365,C Major
Trophy Scars,Toronto,1365,C Major
Hootie & the Blowfish,Tucker’s Town,1361,C Major
The National,I Should Live in Salt,1360,C Major
Alan Menken,Hercules: I Won't Say I'm in Love (feat. Susan Egan),1359,C Major
The Offspring,"Kristy, Are You Doing Okay?",1359,C Major
Judas Priest,Hell Bent for Leather,1358,C Major
Flo Rida,Right Round,1357,C Major
Elton John,Kiss the Bride,1357,C Major
Elton John,I Don't Wanna Go On With You Like That,1357,C Major
Jimmy Buffett,Tin Cup Chalice,1353,C Major
Electric Light Orchestra,Alright,1352,C Major
Bruce Springsteen,Secret Garden,1350,C Major
Lady Gaga,Marry the Night,1349,C Major
Erasure,A Little Respect,1349,C Major
Kendrick Lamar,untitled 02 l 06.23.2014.,1348,C Major
Wiener Philharmoniker,"Symphony №3 in A minor, op. 56 “Scottish”: I. Andante con moto - Allegro un poco agitato - Assai animato - Andante come prima",1347,C Major
Kodaline,Love Like This,1347,C Major
Keane,Everybody's Changing,1346,C Major
Steve Miller Band,Fly Like An Eagle,1345,C Major
311,Don't Tread on Me,1345,C Major
Air Supply,It's Not Too Late,1341,C Major
Lifehouse,Whatever It Takes,1340,C Major
Barry Manilow,Ready to Take a Chance Again,1339,C Major
The Rolling Stones,Ruby Tuesday,1335,C Major
Lionel Richie,Do It to Me,1332,C Major
Fleetwood Mac,Not That Funny,1332,C Major
Eiffel 65,I DJ With the Fire,1331,C Major
Bob Carlisle,Butterfly Kisses,1330,C Major
a-ha,Touchy!,1329,C Major
Armin van Buuren,Serenity,1329,C Major
AWOLNATION,Kill Your Heroes,1328,C Major
U2,Staring at the Sun,1327,C Major
Neil Young,Cowgirl in the Sand,1326,C Major
Toby Keith,How Do You Like Me Now?!,1324,C Major
Backstreet Boys,Unsuspecting Sunday Afternoon,1323,C Major
Carole King,Will You Love Me Tomorrow?,1323,C Major
Robert John,Sad Eyes,1323,C Major
Justin Bieber,That Should Be Me (acoustic),1322,C Major
Mariah Carey,When I Saw You,1321,C Major
Dixie Chicks,White Trash Wedding,1321,C Major
Hilary Duff,So Yesterday,1321,C Major
Barry Manilow,Beautiful Music,1321,C Major
Vitamin C,Graduation (Friends Forever),1320,C Major
The Moody Blues,Nice to Be Here,1320,C Major
Wiener Philharmoniker,"Symphony №3 in A minor, op. 56 “Scottish”: IV. Allegro vivacissimo - Allegro maestoso assai",1317,C Major
Phish,TMWSIY,1317,C Major
Vince Guaraldi Trio,Christmas Time Is Here (Instrumental),1316,C Major
Henry Gray and The Cats,How Could You Do It,1315,C Major
Rose Royce,I Wanna Get Next to You,1315,C Major
Avicii,The Days,1313,C Major
Justin Bieber,Recovery,1312,C Major
Neil Diamond,Song Sung Blue,1311,C Major
3 Doors Down,Your Arms Feel Like Home,1311,C Major
Hellyeah,Better Man,1311,C Major
Flo Rida,Club Can't Handle Me,1310,C Major
The Beatles,Flying,1308,C Major
Roxette,The Look,1307,C Major
Santana,Oye como va,1307,C Major
Korn,Shoots and Ladders,1306,C Major
Victoria Justice,Gold,1306,C Major
DJ Drama,"Oh My (feat. Fabolous, Wiz Khalifa & Roscoe Dash)",1305,C Major
Chris Isaak,Dancin',1305,C Major
Muse,Guiding Light,1304,C Major
Simon & Garfunkel,I Am a Rock,1303,C Major
Cinderella,Nobody's Fool,1303,C Major
Josh Groban,The Christmas Song,1302,C Major
Starship,Miracles,1301,C Major
Nickelback,Edge of a Revolution,1301,C Major
Nick Carter,Not The Other Guy,1300,C Major
Vince Guaraldi,Christmas Time Is Here,1298,C Major
Carrie Underwood,Do You Hear What I Hear,1296,C Major
The Corrs,Dreams,1295,C Major
The Allman Brothers Band,Nobody Knows,1293,C Major
Lynyrd Skynyrd,That Smell,1291,C Major
Wolfgang Amadeus Mozart,Jupiter Symphony No.41 In C Major,1291,C Major
Smokey Robinson,You Really Got a Hold on Me,1289,C Major
Fergie,Clumsy,1284,C Major
Pink Anderson,Try Some Of That,1284,C Major
The Hooters,All You Zombies,1283,C Major
Bright Eyes,Something Vague,1281,C Major
Kraftwerk,Radioactivity,1281,C Major
E. Power Biggs,Prelude and Fugue in C major BWV 547,1278,C Major
Brand New,At the Bottom,1277,C Major
Toni Braxton,Unbreak My Heart (1997),1276,C Major
Audioslave,Until We Fall,1276,C Major
Megadeth,Dialectic Chaos,1274,C Major
Cyndi Lauper,She Bop,1272,C Major
The Beatles,Don't Pass Me By,1269,C Major
Brad Paisley,Waitin' on a Woman,1268,C Major
The Corrs,Forgiven Not Forgotten,1268,C Major
Jennifer Lopez,Booty,1265,C Major
Megadeth,Countdown to Extinction,1265,C Major
Shinedown,Unity,1265,C Major
Florida Georgia Line,Anything Goes,1265,C Major
Calvin Harris,This Is What You Came For,1264,C Major
Sarah Brightman,Fleur Du Mal,1264,C Major
UHF,Rua Do Carmo,1263,C Major
Justin Bieber,I'll Show You,1261,C Major
Nine Inch Nails,The Warning (Real World remix by Stefan Goodchild),1260,C Major
Collective Soul,After All,1259,C Major
E. Power Biggs,"Prelude and Fugue in A minor, BWV 543: 1. Prelude",1258,C Major
Cat Power,The Greatest,1255,C Major
Backstreet Boys,If I Knew Then,1252,C Major
Katy Perry,This Is How We Do,1251,C Major
The Lumineers,Ho Hey,1250,C Major
The J. Geils Band,Love Stinks,1249,C Major
Carole King,Where You Lead,1249,C Major
E. Power Biggs,"Prelude and Fugue in A minor, BWV 543: 2. Fugue",1248,C Major
Asia,Only Time Will Tell,1247,C Major
Muse,The 2nd Law: Unsustainable,1246,C Major
Mariah Carey,After Tonight,1246,C Major
Linkin Park,Burning in the Skies,1246,C Major
Mariah Carey,Fly Away (Butterfly reprise),1243,C Major
Red Hot Chili Peppers,Fight Like a Brave,1242,C Major
Hillsong Live,Greater Than All,1241,C Major
Bruce Springsteen,Waitin’ on a Sunny Day,1240,C Major
The Moody Blues,Isn't Life Strange,1239,C Major
Backstreet Boys,That's the Way I Like It,1239,C Major
The Moody Blues,Ride My See-Saw,1238,C Major
Backstreet Boys,This Is Us,1238,C Major
Collective Soul,Perfect Day,1237,C Major
Chicago,We Can Last Forever,1237,C Major
Red Hot Chili Peppers,Special Secret Song Inside,1237,C Major
Train,Ordinary,1232,C Major
Train,Ordinary,1232,C Major
Brad Paisley,She's Everything,1232,C Major
Chicago,Happy Man,1231,C Major
The Beatles,When I Get Home,1231,C Major
